fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2023-03-31,2023-04-27,0.31,0.21,0.1,47.619
2022-12-31,2023-02-02,0.25,0.18,0.07,38.8889
2022-09-30,2022-10-27,0.17,0.22,-0.05,-22.7273
2022-06-30,2022-07-28,0.18,0.14,0.04,28.5714
2022-03-31,2022-04-28,0.37,0.42,-0.05,-11.9048
2021-12-31,2022-02-03,0.29,0.18,0.11,61.1111
2021-09-30,2021-10-28,0.31,0.45,-0.14,-31.1111
2021-06-30,2021-07-29,0.76,0.62,0.14,22.5806
2021-03-31,2021-04-29,0.79,0.48,0.31,64.5833
2020-12-31,2021-02-02,0.7,0.36,0.34,94.4444
2020-09-30,2020-10-29,0.62,0.37,0.25,67.5676
2020-06-30,2020-07-30,0.52,0.07,0.45,642.8571
2020-03-31,2020-04-30,0.25,0.31,-0.06,-19.3548
2019-12-31,2020-01-30,0.32,0.2,0.12,60
2019-09-30,2019-10-24,0.21,0.23,-0.02,-8.6957
2019-06-30,2019-07-25,0.26,0.28,-0.02,-7.1429
2019-03-31,2019-04-25,0.35,0.24,0.11,45.8333
2018-12-31,2019-01-31,0.3,0.28,0.02,7.1429
2018-09-30,2018-10-25,0.29,0.16,0.13,81.25
2018-06-30,2018-07-26,0.25,0.13,0.12,92.3077
2018-03-31,2018-04-26,0.16,0.06,0.1,166.6667
2017-12-31,2018-02-01,0.11,0.09,0.02,22.2222
2017-09-30,2017-10-26,0.03,0.03,0,0
2017-06-30,2017-07-27,0.02,0.07,-0.05,-71.4286
2017-03-31,2017-04-27,0.07,0.05,0.02,40
2016-12-31,2017-02-02,0.08,0.07,0.01,14.2857
2016-09-30,2016-10-27,0.03,0.04,-0.01,-25
2016-06-30,2016-07-28,0.09,0.06,0.03,50
2016-03-31,2016-04-28,0.05,0.03,0.02,66.6667
2015-12-31,2016-01-28,0.05,0.08,-0.03,-37.5
2015-09-30,2015-10-22,0.01,-0.01,0.02,200
2015-06-30,2015-07-23,0.01,-0.01,0.02,200
2015-03-31,2015-04-23,-0.01,-0.01,0,0
2014-12-31,2015-01-29,0.02,0.01,0.01,100
2014-09-30,2014-10-23,-0.05,-0.04,-0.01,-25
2014-06-30,2014-07-24,-0.01,-0.01,0,0
2014-03-31,2014-04-24,0.01,0.01,0,0
2013-12-31,2014-01-30,0.03,0.03,0,0
2013-09-30,2013-10-24,-0.09,-0.09,0,0
2013-06-30,2013-07-25,-0.02,0.05,-0.07,-140
2013-03-31,2013-04-25,0.01,0.08,-0.07,-87.5
2012-12-31,2013-01-29,0.01,0.01,0,0
2012-09-30,2012-10-25,-0.01,-0.08,0.07,87.5
2012-06-30,2012-07-26,0.01,0.02,-0.01,-50
